alpha,gamma,epsilon,epsilon_min,epsilon_decay,avg_q_sum
0.388,0.955,1.0,0.1,0.999,-14.997278349038986
0.388,0.99,1.0,0.1,0.95,-9.919162277108695
0.388,0.99,1.0,0.1,0.962,-13.420794915056087
0.388,0.99,1.0,0.1,0.974,-8.828523571483602
0.388,0.99,1.0,0.1,0.987,-11.05045440572615
0.388,0.99,1.0,0.1,0.999,-10.265878588146334
0.5,0.85,1.0,0.1,0.95,-3.5235416666666666
0.5,0.85,1.0,0.1,0.962,-4.17203125
0.5,0.85,1.0,0.1,0.974,-8.1201875
0.5,0.85,1.0,0.1,0.987,-14.773566210937497
0.5,0.85,1.0,0.1,0.999,-12.276864583333333
0.5,0.885,1.0,0.1,0.95,-16.931843010286457
0.5,0.885,1.0,0.1,0.962,-8.170188125000001
0.5,0.885,1.0,0.1,0.974,-20.835927044111166
0.5,0.885,1.0,0.1,0.987,-12.009301796874999
0.5,0.885,1.0,0.1,0.999,-22.683447783203125
0.5,0.92,1.0,0.1,0.95,-16.371764416666668
0.5,0.92,1.0,0.1,0.962,-6.216270833333333
0.5,0.92,1.0,0.1,0.974,-8.722303333333334
0.5,0.92,1.0,0.1,0.987,-23.3299546545
0.5,0.92,1.0,0.1,0.999,-12.183499583333335
0.5,0.955,1.0,0.1,0.95,-5.459208333333334
0.5,0.955,1.0,0.1,0.962,-10.832555989583334
0.5,0.955,1.0,0.1,0.974,-11.033676157766358
0.5,0.955,1.0,0.1,0.987,-13.961834088541666
0.5,0.955,1.0,0.1,0.999,-11.143999960937501
0.5,0.99,1.0,0.1,0.95,-10.274011718750002
0.5,0.99,1.0,0.1,0.962,-10.701973828125
0.5,0.99,1.0,0.1,0.974,-5.982125
0.5,0.99,1.0,0.1,0.987,-16.9451880260437
0.5,0.99,1.0,0.1,0.999,-14.323886666666667
